ayacucho,caicara,ciudad_bolivar,palua
50.92,33.18,15.46,10.75
50.86,33.18,15.41,10.69
50.81,33.18,15.39,10.67
50.81,33.18,15.37,10.67
50.68,33.18,15.33,10.61
50.56,33.18,15.29,10.55
50.51,33.18,15.25,10.41
50.47,33.13,15.21,10.27
50.44,33.08,15.17,10.28
50.38,33.03,15.15,10.29
50.31,32.98,15.18,10.52
50.22,32.93,15.18,10.57
50.14,32.88,15.16,10.49
50.05,32.83,15.16,10.56
49.98,32.78,15.15,10.48
49.94,32.73,15.12,10.52
49.88,32.68,15.08,10.44
49.86,32.63,15.01,10.51
49.84,32.58,14.95,10.47
49.76,32.53,14.85,10.33
49.67,32.48,14.73,10.12
49.65,32.38,14.62,9.97
49.54,32.28,14.51,9.83
49.46,32.23,14.45,9.71
49.41,32.18,14.35,9.61
49.27,32.13,14.25,9.53
49.16,32.07,14.17,9.45
49.07,31.98,14.09,9.39
48.96,31.88,14.01,9.33
48.84,31.78,13.93,9.26
48.75,31.73,13.86,9.19
48.71,31.68,13.81,9.15
48.59,31.58,13.75,9.07
48.42,31.48,13.69,9.04
48.26,31.43,13.65,9.05
48.12,31.38,13.60,9.05
47.95,31.33,13.51,8.99
47.86,31.28,13.39,8.89
47.66,31.18,13.29,8.84
47.53,31.08,13.16,8.71
47.39,30.98,13.00,8.55
47.26,30.88,12.85,8.36
47.14,30.78,12.71,8.24
47.04,30.73,12.59,8.12
46.95,30.58,12.49,8.01
46.78,30.48,12.43,7.91
46.66,30.38,12.39,7.83
46.57,30.28,12.35,7.86
46.54,30.18,12.30,7.89
46.51,30.08,12.25,7.99
46.49,29.98,12.15,7.98
46.47,29.98,12.05,7.93
46.49,29.88,11.95,7.84
46.50,29.78,11.81,7.75
46.47,29.68,11.71,7.60
46.47,29.58,11.59,7.42
46.47,29.53,11.49,7.31
46.47,29.48,11.39,7.22
46.44,29.43,11.31,7.15
46.38,29.38,11.23,7.11
46.28,29.33,11.17,6.98
46.21,29.28,11.10,6.87
46.13,29.18,11.03,6.82
46.06,29.13,10.95,6.73
46.03,29.08,10.85,6.62
45.98,28.98,10.71,6.53
45.96,28.88,10.57,6.42
45.92,28.78,10.42,6.31
45.86,28.68,10.29,6.11
45.80,28.63,10.18,5.98
45.76,28.58,10.08,5.84
45.73,28.53,10.01,5.75
45.67,28.48,9.95,5.68
45.66,28.38,9.96,5.62
45.63,28.28,9.97,5.60
45.61,28.23,10.00,5.52
45.61,28.18,10.00,5.49
45.61,28.13,9.93,5.58
45.60,28.13,9.85,5.52
45.57,27.98,9.72,5.47
45.56,27.93,9.63,5.43
45.46,27.88,9.54,5.34
45.41,27.78,9.46,5.32
45.35,27.68,9.37,5.32
45.32,27.58,9.29,5.29
45.28,27.48,9.20,5.45
45.26,27.38,9.12,5.57
45.26,27.28,9.03,5.50
45.27,27.23,8.95,5.37
45.29,27.18,8.87,5.54
45.35,27.13,8.83,5.60
45.34,27.08,8.76,5.55
45.47,27.08,8.68,5.43
45.48,27.03,8.68,5.38
45.52,27.03,8.68,5.29
45.48,27.08,8.68,5.19
45.42,27.08,8.75,5.31
45.40,27.13,8.81,5.41
45.25,27.13,8.87,5.41
45.14,27.18,8.87,5.40
45.06,27.18,8.87,5.34
44.90,27.18,8.79,5.26
44.86,27.08,8.75,5.17
44.65,26.98,8.71,5.15
44.56,26.78,8.71,5.17
44.47,26.68,8.67,5.31
44.44,26.48,8.64,5.52
44.37,26.38,8.60,5.65
44.31,26.28,8.58,5.72
44.18,26.16,8.55,5.46
44.15,26.00,8.47,5.29
44.07,25.88,8.35,5.20
44.04,25.63,8.21,5.05
43.94,25.56,8.05,4.81
43.82,25.48,7.84,4.59
43.66,25.40,7.62,4.42
43.46,25.28,7.40,4.05
43.40,25.09,7.18,3.81
43.27,24.95,7.00,3.62
43.16,24.82,6.83,3.55
43.10,24.67,6.68,3.41
43.04,24.54,6.59,3.39
42.88,24.39,6.50,3.41
42.71,24.29,6.41,3.41
42.62,24.17,6.29,3.39
42.59,24.05,6.16,3.33
42.56,23.98,6.03,3.23
42.44,23.89,5.86,2.99
42.38,23.82,5.78,2.88
42.37,23.72,5.69,2.81
42.36,23.68,5.60,2.77
42.37,23.62,5.57,2.81
42.38,23.58,5.53,2.84
42.39,23.56,5.45,2.78
42.38,23.56,5.31,2.64
42.35,23.56,5.23,2.44
42.26,23.56,5.14,2.31
42.21,23.58,5.05,2.19
42.16,23.52,5.01,2.21
42.11,23.44,5.01,2.21
42.05,23.36,4.98,2.21
42.05,23.27,4.98,2.23
42.02,23.22,4.96,2.41
42.01,23.17,4.94,2.42
41.98,23.11,4.92,2.40
41.88,23.06,4.81,2.33
41.89,23.02,4.69,2.17
41.86,22.98,4.58,2.11
41.77,22.95,4.48,1.99
41.69,22.88,4.42,1.93
41.66,22.80,4.36,1.87
41.61,22.73,4.29,1.79
41.44,22.65,4.19,1.57
41.31,22.54,4.09,1.55
41.22,22.46,4.01,1.62
41.15,22.40,3.93,1.63
41.08,22.32,3.86,1.64
41.02,22.27,3.79,1.67
40.98,22.18,3.71,1.62
40.98,22.13,3.65,1.63
40.96,22.09,3.59,1.65
40.93,22.07,3.53,1.72
40.86,22.07,3.50,1.73
40.81,22.07,3.43,1.60
40.77,22.07,3.36,1.54
40.72,22.07,3.29,1.42
40.68,22.02,3.29,1.33
40.66,21.94,3.33,1.43
40.70,21.87,3.35,1.51
40.81,21.84,3.51,1.79
40.84,21.79,3.48,1.69
40.93,21.83,3.45,
41.06,21.88,3.41,1.67
41.19,21.97,3.35,1.71
41.22,22.08,3.27,1.48
41.22,22.15,3.23,1.47
41.26,22.19,3.23,1.55
41.33,22.22,3.34,1.51
41.38,22.27,3.45,1.47
